m,time
97.58467952700352,590610288283810
97.58467952700352,590610388283810
97.58467952700352,590610488283810
97.58467952700352,590610588283810
97.58467952700352,590610688283810
97.58467952700352,590610788283810
97.58467952700352,590610888283810
97.58467952700352,590610988283810
97.58467952700352,590611088283810
97.58467952700352,590611188283810
97.58467952700352,590611288283810
97.58467952700352,590611388283810
97.58467952700352,590611488283810
97.58467952700352,590611588283810
97.58467952700352,590611688283810
97.58467952700352,590611788283810
97.58467952700352,590611888283810
97.58467952700352,590611988283810
97.58467952700352,590612088283810
97.58467952700352,590612188283810
97.58467952700352,590612288283810
97.58467952700352,590612388283810
97.58467952700352,590612488283810
97.58467952700352,590612588283810
97.58467952700352,590612688283810
97.58467952700352,590612788283810
97.58467952700352,590612888283810
97.58467952700352,590612988283810
97.58467952700352,590613088283810
97.58467952700352,590613188283810
97.58467952700352,590613288283810
97.58467952700352,590613388283810
97.58467952700352,590613488283810
97.58467952700352,590613588283810
97.58467952700352,590613688283810
97.58467952700352,590613788283810
97.58467952700352,590613888283810
97.58467952700352,590613988283810
97.58467952700352,590614088283810
97.58467952700352,590614188283810
97.58467952700352,590614288283810
97.58467952700352,590614388283810
97.58467952700352,590614488283810
97.58467952700352,590614588283810
97.58467952700352,590614688283810
97.58467952700352,590614788283810
97.58467952700352,590614888283810
97.58467952700352,590614988283810
97.58467952700352,590615088283810
97.58467952700352,590615188283810
97.58467952700352,590615288283810
97.58467952700352,590615388283810
97.58467952700352,590615488283810
97.58467952700352,590615588283810
97.58467952700352,590615688283810
97.58467952700352,590615788283810
97.58467952700352,590615888283810
97.58467952700352,590615988283810
97.58467952700352,590616088283810
97.58467952700352,590616188283810
97.58467952700352,590616288283810
99.51085078687338,590616388283810
104.27030634968116,590616488283810
108.19926709209257,590616588283810
110.93279670434143,590616688283810
107.89190241165646,590616788283810
107.26900671617153,590616888283810
117.77096517559278,590616988283810
117.81836940191512,590617088283810
115.52692758334875,590617188283810
118.3059213776504,590617288283810
130.1628964335157,590617388283810
76.97112495042379,590617488283810
38.10810723923337,590617588283810
33.153554237388946,590617688283810
44.3193330711471,590617788283810
43.34574014259391,590617888283810
45.331010800658035,590617988283810
51.633093702216634,590618088283810
52.51566800587669,590618188283810
57.35558764299396,590618288283810
58.64204155979363,590618388283810
53.523208119625735,590618488283810
60.367457552170784,590618588283810
59.91320125480073,590618688283810
61.21358067482971,590618788283810
63.108978537238215,590618888283810
63.17102091039174,590618988283810
62.94727214998345,590619088283810
