p,time
0.0,404697897179215
0.0,404697997179215
0.0,404698097179215
0.0,404698197179215
0.0,404698297179215
0.0,404698397179215
0.0,404698497179215
0.0,404698597179215
0.0,404698697179215
0.0,404698797179215
0.0,404698897179215
0.0,404698997179215
0.0,404699097179215
0.0,404699197179215
0.0,404699297179215
0.0,404699397179215
0.0,404699497179215
0.0,404699597179215
0.0,404699697179215
0.0,404699797179215
0.0,404699897179215
0.0,404699997179215
0.0,404700097179215
0.0,404700197179215
0.0,404700297179215
0.0,404700397179215
0.0,404700497179215
0.0,404700597179215
0.0,404700697179215
0.0,404700797179215
0.0,404700897179215
0.0,404700997179215
0.0,404701097179215
0.0,404701197179215
0.0,404701297179215
0.0,404701397179215
0.0,404701497179215
0.0,404701597179215
0.0,404701697179215
0.0,404701797179215
0.0,404701897179215
0.0,404701997179215
0.0,404702097179215
0.0,404702197179215
0.0,404702297179215
0.0,404702397179215
0.0,404702497179215
0.0,404702597179215
0.0,404702697179215
0.0,404702797179215
0.0,404702897179215
0.0,404702997179215
0.0,404703097179215
0.0,404703197179215
0.0,404703297179215
0.0,404703397179215
0.0,404703497179215
0.0,404703597179215
0.002189120629509489,404703697179215
0.005182552844985366,404703797179215
0.0010233554621663643,404703897179215
-0.00019502893667322496,404703997179215
0.001314118643904294,404704097179215
4.1765380842662125e-05,404704197179215
-0.004545723801584245,404704297179215
-0.002163779115221587,404704397179215
0.0012376381182548357,404704497179215
0.004228116205695187,404704597179215
0.0026938062784438443,404704697179215
-0.0025985599850173458,404704797179215
-0.006069779834660949,404704897179215
-0.0015137434663756721,404704997179215
0.0044821862569506266,404705097179215
0.0014476226127726477,404705197179215
1.3283417615639337e-05,404705297179215
0.0016101945292348319,404705397179215
-0.00027939618644268194,404705497179215
-0.0037475148111525414,404705597179215
-0.0009787274909740518,404705697179215
-0.005930115469482189,404705797179215
-0.007480921476030744,404705897179215
-0.002762098260518542,404705997179215
-0.0007383749095879466,404706097179215
-0.0004405543313623639,404706197179215
0.00217781770061265,404706297179215
0.005970641038629765,404706397179215
0.003077222131423696,404706497179215
-0.003464544646703871,404706597179215
-0.00391102138610222,404706697179215
-0.0034565414771350333,404706797179215
0.0019873099591904975,404706897179215
0.0017924971066349826,404706997179215
-0.004249769904163259,404707097179215
0.007651129886085073,404707197179215
0.0019058172862287392,404707297179215
-0.00421290269275687,404707397179215
-0.0022691812270068112,404707497179215
-0.0017230673789754292,404707597179215
0.004152766096694904,404707697179215
-0.0010722235176672257,404707797179215
-0.002011062187875723,404707897179215
-0.0017033850945153972,404707997179215
-0.004834330202015735,404708097179215
-0.0036144346966011653,404708197179215
0.004453439601093123,404708297179215
0.005126894108002489,404708397179215
-0.004281033131633194,404708497179215
-0.01338151708478108,404708597179215
-0.0027316434546946766,404708697179215
0.003203900915991653,404708797179215
-0.00872053748662438,404708897179215
-0.003395444131001568,404708997179215
-0.007137594511277712,404709097179215
0.0018520364432106362,404709197179215
-0.003535355684789465,404709297179215
0.007033848482137728,404709397179215
0.0013657549715162531,404709497179215
-0.004764928136523849,404709597179215
-0.00038380948728899966,404709697179215
-0.0049001097137306715,404709797179215
-0.005050474431868679,404709897179215
-0.0033907673060866728,404709997179215
-0.0045876022816173645,404710097179215
-0.010443691648561071,404710197179215
0.002057244190950769,404710297179215
-0.007220955359457548,404710397179215
-0.006977526126320299,404710497179215
0.002405417357635997,404710597179215
0.006668963337119749,404710697179215
0.009852402142541905,404710797179215
0.0045148271107109395,404710897179215
0.0018789402952279488,404710997179215
0.0009765038973910123,404711097179215
-0.00014932027738723264,404711197179215
0.0027499583007966066,404711297179215
3.288638117737719e-05,404711397179215
0.0006242737767934159,404711497179215
0.001676837263289599,404711597179215
0.002563072173757064,404711697179215
0.0033350211610922997,404711797179215
-0.0009255980384068607,404711897179215
-0.004075290732657777,404711997179215
-0.0007645433038305782,404712097179215
0.0020067286455969224,404712197179215
0.0011137726085053146,404712297179215
-0.0018372538279436412,404712397179215
-0.004879059659288032,404712497179215
-0.00598225675832964,404712597179215
-0.0023067425502176775,404712697179215
-0.0005818471395286906,404712797179215
0.0018422445958776734,404712897179215
0.003476820451396634,404712997179215
0.000810794353469646,404713097179215
-0.003468676663487713,404713197179215
-0.009408177538944074,404713297179215
-0.0009615717992801365,404713397179215
0.00921290090968796,404713497179215
0.005354030936473464,404713597179215
-0.0020143078996852637,404713697179215
-0.001774057345642177,404713797179215
0.0,404713897179215
0.0011967784780608781,404713997179215
0.002844321381417103,404714097179215
0.0013712534463365955,404714197179215
-0.007985921505451188,404714297179215
-0.010928702480327956,404714397179215
-0.007922746632743838,404714497179215
0.0006810772284779887,404714597179215
0.0044037613929504005,404714697179215
0.004136688851758663,404714797179215
0.005011327083252581,404714897179215
-0.0024734204876040167,404714997179215
7.60620292794556e-05,404715097179215
-0.00760441872660067,404715197179215
-0.0077001815600397094,404715297179215
-0.0027980302178320926,404715397179215
0.0025039144019274318,404715497179215
0.0020342304402447553,404715597179215
-0.004036695834656712,404715697179215
-0.0006755688082193956,404715797179215
-0.0024574280155320594,404715897179215
-0.0035165849623126633,404715997179215
-0.003412334842664677,404716097179215
-0.00022938542406336637,404716197179215
-0.007915454901194607,404716297179215
-0.010086350011874856,404716397179215
-0.0007022433327392719,404716497179215
-0.003190693461306182,404716597179215
0.0013873417580043679,404716697179215
0.0033100967382324598,404716797179215
-0.004453946370176709,404716897179215
-0.006869260201256111,404716997179215
0.003613460936435331,404717097179215
-0.006752248194516142,404717197179215
-0.0012986596964310593,404717297179215
-0.0023300384987123834,404717397179215
9.359850878354337e-05,404717497179215
0.0033268552264189566,404717597179215
-0.003548891771970375,404717697179215
-0.013012185068532744,404717797179215
-0.004046648709731926,404717897179215
-0.008246813584605661,404717997179215
-0.005434643853277521,404718097179215
-0.006389727040300386,404718197179215
-0.0020372270048483188,404718297179215
0.006045118270776584,404718397179215
0.0002479949415601368,404718497179215
-0.00052517208757763,404718597179215
-0.0015504176027434369,404718697179215
-0.0006775641395506682,404718797179215
0.0029713360679579637,404718897179215
-0.003831486701983522,404718997179215
0.00419272714464114,404719097179215
-0.003605788913091601,404719197179215
-0.0008609923552285181,404719297179215
-0.0008063007593364091,404719397179215
-4.4224016164662316e-05,404719497179215
-0.005360166014497736,404719597179215
-0.0027627110646335495,404719697179215
0.008896745847550847,404719797179215
0.008076834086864437,404719897179215
-0.0018714114557951689,404719997179215
0.003361162049259292,404720097179215
-0.0023111385166885157,404720197179215
-0.006224967897651368,404720297179215
-0.0045723641522954495,404720397179215
0.0005938158262779325,404720497179215
0.005268082110092109,404720597179215
0.004373727880988554,404720697179215
0.006350762344595751,404720797179215
0.0005323635078866573,404720897179215
-0.007094610118315359,404720997179215
-0.01010154054006307,404721097179215
-0.008346782271587472,404721197179215
-0.008835274523903536,404721297179215
-0.004522260792668931,404721397179215
-0.003327393435256454,404721497179215
-0.0024719475522942957,404721597179215
-0.003074962682376281,404721697179215
-0.006086167471949011,404721797179215
-0.009680515777063192,404721897179215
-0.004408862344348563,404721997179215
0.00548006598523898,404722097179215
0.0007832245049712583,404722197179215
-0.004444416630235537,404722297179215
-0.002318837453344713,404722397179215
-0.001922212667977874,404722497179215
-0.0012004770559315148,404722597179215
-0.0008953705064413953,404722697179215
-0.005040491858380847,404722797179215
-0.0004282631839487294,404722897179215
0.0025085844969225946,404722997179215
-0.0016101999989359683,404723097179215
-0.005499079966057252,404723197179215
-0.00566738659370003,404723297179215
-0.002929120742123814,404723397179215
-0.001774752481651376,404723497179215
-0.0037385309084356777,404723597179215
-0.002734691624596053,404723697179215
-0.0007751892136411698,404723797179215
-0.005996635186079402,404723897179215
-0.008802540001966008,404723997179215
-0.011288255751082943,404724097179215
-0.012047629964740736,404724197179215
-0.010846401746789525,404724297179215
-0.007873766424722817,404724397179215
-0.00686425037247318,404724497179215
-0.0042529565384938905,404724597179215
-0.0074136955254289205,404724697179215
-0.016338882843001556,404724797179215
-0.008437313496642673,404724897179215
0.0005962404956108003,404724997179215
-0.013666418092839194,404725097179215
-0.010265164654811088,404725197179215
-0.007172610378916033,404725297179215
-0.003926112443991769,404725397179215
0.0023227936067087285,404725497179215
-0.008170169301479291,404725597179215
-0.004110469709303288,404725697179215
-0.005213955804265424,404725797179215
-0.001926475559116625,404725897179215
-0.009612933707558113,404725997179215
-0.01052732939535872,404726097179215
-0.0010478848984121214,404726197179215
