m,time
43.89862797307648,131984055888265
43.89862797307648,131984155888265
44.803868678367,131984255888265
47.46938635315507,131984355888265
48.06658202053953,131984455888265
50.69827242741653,131984555888265
54.830292529566115,131984655888265
55.47184440007183,131984755888265
59.002107531531585,131984855888265
63.61297824801083,131984955888265
64.05478835390979,131985055888265
64.49362728711739,131985155888265
66.86820475662519,131985255888265
68.49554582213703,131985355888265
64.50241152319829,131985455888265
63.52271380740778,131985555888265
63.48107912998939,131985655888265
61.17931169461267,131985755888265
56.82478097368227,131985855888265
52.874382010076516,131985955888265
52.31445644338102,131986055888265
51.43897740165832,131986155888265
50.444906193586476,131986255888265
49.86732890467752,131986355888265
48.31767560737748,131986455888265
46.91362572488681,131986555888265
45.50261028816598,131986655888265
43.633183751754885,131986755888265
41.39573033374556,131986855888265
41.921065821080006,131986955888265
41.17701493972482,131987055888265
40.35074514058858,131987155888265
38.75298036388177,131987255888265
38.19266706507376,131987355888265
35.59990877328942,131987455888265
35.79811610217635,131987555888265
37.26343055107246,131987655888265
36.828822651501895,131987755888265
36.666126425871944,131987855888265
35.79351135608498,131987955888265
35.32220712259218,131988055888265
34.71806347863347,131988155888265
34.53682836171819,131988255888265
34.43774226026429,131988355888265
33.89710168041678,131988455888265
33.267804590456635,131988555888265
32.32726883230271,131988655888265
32.132297421064685,131988755888265
32.24499182833641,131988855888265
32.176400689335466,131988955888265
31.725098256939884,131989055888265
31.43374209812693,131989155888265
31.416907191478302,131989255888265
30.4994694864606,131989355888265
29.60529728318487,131989455888265
31.000033725590768,131989555888265
30.88852653478357,131989655888265
29.784700256586742,131989755888265
29.176356097928107,131989855888265
29.413347056216903,131989955888265
29.552265646034574,131990055888265
30.660254618049468,131990155888265
33.11998908798303,131990255888265
36.28017360431194,131990355888265
35.669328339103295,131990455888265
33.6023790036155,131990555888265
32.855545572638555,131990655888265
32.001060502146146,131990755888265
31.15232082981368,131990855888265
21.594352739006755,131990955888265
21.3300768424245,131991055888265
18.139007700857217,131991155888265
17.561048838192296,131991255888265
17.31458888300898,131991355888265
15.101364394676308,131991455888265
15.696136707219054,131991555888265
16.304064138853846,131991655888265
16.647692881240012,131991755888265
17.0172104362325,131991855888265
18.840118542235704,131991955888265
18.993254168805557,131992055888265
20.28393440640084,131992155888265
21.72113086490545,131992255888265
22.665189896388075,131992355888265
23.316372705199765,131992455888265
23.410639304582087,131992555888265
23.441279261097428,131992655888265
24.974259612173743,131992755888265
27.52850709708864,131992855888265
27.006112646256888,131992955888265
26.727676471483264,131993055888265
28.104248319295998,131993155888265
27.856786034219628,131993255888265
28.949498244006392,131993355888265
28.538930719739835,131993455888265
28.10833654946034,131993555888265
28.88212696554053,131993655888265
28.003831497981288,131993755888265
29.34274304485663,131993855888265
29.369695479777587,131993955888265
29.173587254802666,131994055888265
31.77980694746321,131994155888265
31.21034509624116,131994255888265
30.610126091650116,131994355888265
28.87652929948012,131994455888265
29.022248214457576,131994555888265
28.792030862662145,131994655888265
28.66763964896711,131994755888265
27.624760063288782,131994855888265
28.300664078470408,131994955888265
27.62483861264058,131995055888265
27.131070794903472,131995155888265
27.633476189780197,131995255888265
27.733565884850794,131995355888265
